event_number	date	day	month	year	location	latitude	longitude	country	industry	facility	site	unit	mode	ines	ines_guess	region	description	type	status	capacity	connection_year	comments	core_relevant	origin_description	origin	cause_description	cause	lower_limit	upper_limit
18	2015-07-13	18	18	18	Daeniken, Switzerland	47.3548647	7.9811789	Switzerland	Energy	Plant	GOESGEN	Single	1	1.0	1	WE	During restart after turbine trip a combination of operator errors caused shutdown of two steam isolation valves followed by a system response as designed including reactor trip; restart the following day	PWR	Operational	1060	1979	INES 1 due to numerous similar operator errors before	0		2		H	1.0	2.0
20	2015-05-28	20	20	20	Cattenom, France	49.4074405	6.244669	France	Energy	Plant	CATTENOM	1	2	1.0	1	WE	Unexpected opening of a secondary system valve resulted in an atmospheric steam release; reactor shutdown, steam generator remained undamaged.	PWR	Operational	1362	1986		0		2		T	1.0	10.0
21	2015-05-09	21	21	21	Ottawa, United States	41.3516628	-88.845436	United States	Energy	Plant	DAVIS BESSE	1	2				A steam leak in the turbine building forced the reactor to shut down until repairs could be made. The plant was brought back online and synchronized with the local power grid three days later.	PWR	Operational	925	1977		0		2		T	5.0	10.0
22	2015-05-09	22	22	22	Buchanan, United States			United States	Energy	Plant	INDIAN POINT	3	2				A transformer failed, causing the automated shutdown of the reactor. All control rods fully - inserted and all required safety systems functioned properly. A fire that resulted from the failure was extinguished, and the reactor was placed in a safe and stable condition. The failed transformer contained about 24,000 gallons of dielectric fluid, which is used as an insulator and coolant when the transformer is energized. The U.S. Coast Guard estimates that about 3,000 gallons of dielectric fluid entered the river following the failure.	PWR	Operational	1085	1976		0		2		T	30.0	50.0
25	2015-03-03	25	25	25	Byron, United States	37.874063	-121.634657393299	United States	Energy	Plant	BYRON	1	2				Reactor Trip Resulting from a Phase to Phase Fault on the 1E Main Power Transformer, caused by design vulnerability where ice falls from one component onto another.	PWR	Operational	1242	1985		0		2		T	12.0	20.0
26	2015-01-28	26	26	26	Hartsville, United States	34.3740431	-80.0734005	United States	Energy	Plant	ROBINSON	2	2		1		Both trains of the Reactor Protection System and DC electrical distribution system inoperable due to inadvertent parallel connection of both trains of these systems during refueling outage.	PWR	Operational	780	1970	Unclear if at full power with degraded safety system, and for how long	?		1		H	0.0	0.0
27	2015-01-27	27	27	27	Plymouth, United States	41.9584367	-70.6672577	United States	Energy	Plant	PILGRIM	1	2		1		The plant underwent a storm-induced unplanned shutdown after the two 345 kV lines that provide off-site power tripped subsequently; a third off-site power line remained available, the emergency diesel generators were started successfully by way of precaution and the reactor was in safe shutdown condition. However, due to additional equipment failures, the regulator initiated special inspection.	BWR	Operational	711	1972	unplanned scram with some equipment issues	1		3		T	10.0	20.0
29	2014-12-28	29	29	29	Monticello, United States	38.01032755	-78.4523439044681	United States	Energy	Plant	MONTICELLO	Single	2		1		During surveillance test of one emergency diesel generator (EDG), a non-licensed operator erroneously adjusted the other EDG governor setting. Both EDGs were declared inoperable, although a subsequent evaluation determined that at least one EDG was always capable of performing its safety function.	BWR	Operational	691	1971	CCDF order of 10^-5	1		1		H	0.0	0.0
30	2014-11-28	30	30	30	Enerhodar, Ukraine	47.4970865	34.6487214	Ukraine	Energy	Plant	ZAPOROZHYE	3	2	0.0		EE	Disconnection of the plant from the power grid due to a failure of the electrical equipment in the turbine hall; restart 12/3/2014.	PWR	Operational	1000	1986		0		2		T	10.0	20.0
31	2014-11-25	31	31	31	Ottawa, United States	41.3516628	-88.845436	United States	Energy	Plant	DAVIS BESSE	1	2		0		As announced by the vendor, efficiency in loss of coolant accident analysis codes adversely affected predicted peak cladding temperature (2513 in excess of 2200 F); due to sufficient margins no impact on current operation and safety.	PWR	Operational	925	1977	anomaly, interesting case, CCF	?				T	0.0	0.0
32	2014-11-21	32	32	32	Pickering, Canada	43.835765	-79.090576	Canada	Energy	Plant	PICKERING	7	0		1		During planned maintenance, a valve on the moderator system opened inside the reactor building. The leak was contained within the building and there was no impact to station staff, the public or the environment.	PHWR	Operational	540	1984		0		1		T	0.0	1.0
33	2014-11-01	33	33	33	Bridgman, United States	41.9430986	-86.5569659	United States	Energy	Plant	COOK	1,2	2		1		Manual reactor trip due to a storm induced heavy influx of dune grass and debris from Lake Michigan causing degraded forebay condition.	PWR	Operational	1131;1231	1975;1978	anomaly with two unexpected equipment issues, CCF	?		3		T	25.0	35.0
34	2014-10-22	34	34	34	Killona, United States	30.0060367	-90.482862	United States	Energy	Plant	WATERFORD	3	2		1		Visual inspection revealed holes in the fuel feed tanks of the emergency diesel generators; potential water intrusion could have rendered diesels inoperable.	PWR	Operational	1250	1985	INES 1 due to violation of safety culture, CCF	0		3		H	0.0	10.0
35	2014-10-17	35	35	35	Yeonggwang-gun, South Korea	35.28253	126.43848	South Korea	Energy	Plant	HANBIT	3	?		?	A	Delayed identification of steam generator tube leakage.	PWR	Operational	1039	1994		0		1		T	280.0	500.0
37	2014-08-11	37	37	37	Heysham, United Kingdom	54.0494955	-2.890311	United Kingdom	Energy	Plant	HEYSHAM	A1	2			WE	Unexpected cracking in the boiler spine of unit 1 at Heysham A forced an 8 week shutdown of four reactors in the Heysham A and Hartlepool sites; no direct safety impact.	GCR	Operational	625	1983		0		1		T	350.0	600.0
39	2014-08-05	39	39	39	Marseilles, United States	41.3308666	-88.7081293	United States	Energy	Plant	LASALLE	2	2		1		"Reactor scram on high neutron flux followed by a ""Group I containment isolation"". One inboard isolation valve showed dual indication rather than fully closed. Troubleshooting determined a valve stem-disk separation which allowed the main disk to drop into the main steam flow path; the resulting pressure transient added positive reactivity which caused the high neutron flux scram."	BWR	Operational	1207	1984	technical failure (anomaly) with positive physical feedback	0		1		T	25.0	35.0
40	2014-06-24	40	40	40	Leibstadt, Switzerland	47.5905075	8.1756561	Switzerland	Energy	Plant	LEIBSTADT	Single	2	1.0	1	WE	Detection of a few boreholes through the steel wall of the primary containment without seriously impacting its integrity and retention capability.	BWR	Operational	1275	1984		0				H	0.0	1.0
41	2014-05-25	41	41	41	Waterford, United States	39.188317	-77.6115402	United States	Energy	Plant	MILLSTONE	2,3	2		1		Dual unit reactor trip on loss of offsite power which occured in the main switchyard; all systems including the emergency diesel generators functioned as designed.	PWR	Operational	918;1280	1975;1986	Assumed technical	1		2		T	23.0	30.0
42	2014-05-19	42	42	42	Salem, United States	44.9391565	-123.033121	United States	Energy	Plant	SALEM	2	2		0		A scheduled refueling outage was extended after 15 to 17 broken-off bolt heads from a cooling pump were found in the reactor vessel. Returned to service on July 11, 2014.	PWR	Operational	1200	1981		0		1		T	120.0	160.0
45	2014-04-09	45	45	45	Fessenheim, France	48.6341523	7.5403628	France	Energy	Plant	FESSENHEIM	1	2	1.0	1	WE	Internal flooding in the non-nuclear part of the reactor had damaged the safety electrical systems, leading to shutdown of reactor. The repair and requalification of the equipment affected by splashing water lasted nearly 50 days before the reactor was restarted.	PWR	Operational	920	1977		0		2		T	60.0	100.0
46	2014-01-21	46	46	46	Lusby, United States	38.3563005	-76.4414308704519	United States	Energy	Plant	CALVERT CLIFFS	1,2	2		2		Reactor tripped when a non-safety-related 13 kV service bus de-energized due to a ground fault on feeder breaker caused by inadequate protection against weather (snow storm) related water intrusion. The loss of the service bus caused the loss of circulating pumps and main condenser vacuum, requiring the use of auxiliary feedwater and atmospheric dump valves. Power was also lost to a safety-related bus which caused the start of the pertinent emergency diesel generator.	PWR	Operational	918;911	1975;1976	interesting precursor (Fukushima “postrunner”)	1		3		T	15.0	25.0
50	2013-12-09	50	50	50	Pope, United States	37.3933531	-88.5904425	United States	Energy	Plant	ANO	2	2		1		Unit taken offline due to a transformer fire in the site switchyard. The fire was contained without injuries or threats to safety.	PWR	Operational	1065	1978		1	Power supply: Unit Auxiliary Transformer	2	electrical fault; Improper installation	T;H	50.0	80.0
53	2013-10-08	53	53	53	Krsko, Slovenia	45.9573785	15.4933729	Slovenia	Energy	Plant	KRSKO	Single	2	0.0	1	EE	Discovery of three broken, and a few leaking, damaged fuel rods during unloading and fuel inspections, one additional pin broke during transfer; restarted expected at end of Nov. 2013.	PWR	Operational	727	1981		0		1		T	12.0	20.0
54	2013-10-06	54	54	54	Neckarwestheim, Germany	49.0474301	9.1892332	Germany	Energy	Plant	NECKARWESTHEIM	2	0	1.0	1	WE	False blockage of a checkvalve in one of the four trains of the decay heat removal system and concurrent clearing of another train for maintenance lead to temporary unavailability of the system to cope with external events.	PWR	Operational	1400	1989	Potential external trigger.	0		3		T	0.0	0.0
56	2013-08-22	56	56	56	Salem, United States	44.9391565	-123.033121	United States	Energy	Plant	SALEM	1	2		1		Manual shut down after slightly radioactive water leaked out of from a valve in the rector coolant system and went through the plant's drain system as designed. The spill was confined to the plant's containment building; no risk to workers or the public, and regulators have said there was no risk to the public.	PWR	Operational	1254	1976	minor safety significance	0		1		T	5.0	10.0
58	2013-07-15	58	58	58	Shih-men Hsiang, Taiwan			Taiwan	Energy	Plant	CHINSHAN	2	2		1	A	Typhoon Soulik caused a generator and turbine trip, left seawater inlet blocked, damaged five filters and a traveling filter valve; reactor automatically shut down after manual power reduction failed; lengthy repairs.	BWR	Operational	636	1978		1		3		T	3.0	5.0
59	2013-06-23	59	59	59	Avila Beach, United States	35.1799752	-120.7318418	United States	Energy	Plant	DIABLO CANYON	1	1		1		Control room operators used an annunciator response procedure to address the loss of startup power. Contrary to technical specifications they made all three Unit 1 emergency diesel generators (EDG) inoperable for almost two minutes when they placed all EDG switches into manual control; all offsite and onsite power sources were operable.	PWR	Operational	1197	1984	human failure - lack of safety culture	0		1		H	0.0	0.0
60	2013-06-21	60	60	60	Kuosheng, Taiwan	25.20263615	121.662658048743	Taiwan	Energy	Plant	KUOSHENG	1	2		0	A	Loose blade of the air damper fell onto the bus bar isolator between generator and main transformer and triggered automatic plant shutdown; no direct safety impact; resumed operation after a few (?) hours.	BWR	Operational	985	1981		?		2		T	2.0	4.0
62	2013-05-30	62	62	62	Oesthammar, Sweden	60.2590164	18.3736581	Sweden	Energy	Plant	FORSMARK	3	1	1.0	1	NE	In refueling state the unit breakers of the 400kV incoming off site supply received an unintentional order to open, but only two out of three phases opened, causing low but still over 65% voltage in the rotation; no emergency diesel got start order; safety-grade components with phase imbalance protection were disconnected, due to over-heating; operability of grid supply and safety system re-established after 30 and 90 min, respectively; no off site consequences.	BWR	Operational	1203	1985		1		2		H	0.0	1.0
63	2013-05-03	63	63	63	Fort Calhoun, United States	41.4558282	-96.0264024	United States	Energy	Plant	FORT CALHOUN	1	2		?		High Pressure Safety Injection (HPSI) System pump flow imbalance existing since commissioningl, as HPSI system flow and record loop injection valve positions was not adequately translated into design documents. Under worst case accident conditions, the HPSI system flow rates to the RCS loops could have been imbalanced resulting in less than 75% of the minimum required HPSI flow being injected into the reactor vessel, resulting in fuel overheating and damage.	PWR	Permanent Shutdown	512	1973	Potentially long term vulnerability.	1		1		T	0.0	0.0
65	2013-04-20	65	65	65	Hartlepool, United Kingdom	54.6957009	-1.2003161	United Kingdom	Energy	Plant	HARTLEPOOL	A2	1		1	WE	A small fire broke out in the turbine hall while the reactor  was being brought back into service. The fire was caused by an oil leak, and ignited lagging surrounding part of the turbine. The reactor was shut down and cooled, mitigating any threat of nuclear contamination. Emergency services attended the fire from stations across the  area and the fire was extinguished after roughly 35 minutes.	GCR	Operational	655	1984	minor safety significance	0		2		T	5.0	10.0
66	2013-04-17	66	66	66	Marseilles, United States	41.3308666	-88.7081293	United States	Energy	Plant	LASALLE	1,2	2		1		Lightning struck led to phase-to-ground faults resulting in an opening of the main switchyard and loss of offsite power and reactor scrams on both units. All emergency diesel generators started and loaded the respective busses, all control rods fully inserted and all systems responded as expected.	BWR	Operational	1207	1982;1984	Two unit precursor.	1		3		T	50.0	80.0
68	2013-03-20	68	68	68	Limerick, United States	40.2309343	-75.5221245	United States	Energy	Plant	LIMERICK	1	2		?		"The cause of the high pressure core injection system (HPCI) inoperability was a failure of a bellows actuated pressure switch which resulted in a significant turbine oil system leak. The apparent cause of the pressure switch bellows failure was corrosion fatigue. The potential safety consequence of this event is significant since the oil leak was of sufficient magnitude to have caused a loss of HPCI system injection capability during a design basis accident. however the reactor core isolation cooling (RCIC) system and low pressure emergency core cooling systems (ECCS) remained operable during the period when the HPCI system was rendered operable; the affected pressure switch is calibrated on a 6-year frequency.
There is no preventive maintenance task that performs periodic replacement of the switch. The failed switch had been in service since initial plant operation."	BWR	Operational	1194	1985		1		1		T	0.0	1.0
69	2013-03-19	69	69	69	Kashiwazaki, Japan	37.3719095	138.5591406	Japan	Energy	Plant	KASHIWAZAKI KARIWA	1	2	1.0	0-1	A	In response to the discovery that bends were found in water rods at Unit 5 at Kashiwazaki-Kariwa (event on 16.10.2012), inspection of fuel assemblies was conducted for all units, and it was confirmed that some fuel rods touched each other in Unit 1.	BWR	Operational	1100	1985	anomaly - no contribution to CCDP	0		1		T	0.0	0.0
71	2013-01-01	71	71	71	Pickering, Canada	43.835765	-79.090576	Canada	Energy	Plant	PICKERING	1	0				A fire broke out in a lube oil purification system in the Pickering Nuclear Unit 1 turbine hall. One of the three heating elements in the heater for the purification system remained energized when its associated switch was in the “off” Position. The fire caused extensive damage to the turbine lube oil purification skid and overhead cable trays, as well as ancillary damage to a nearby hydrogen system panel. Damage to the overhead cable trays led to 45 additional days of outage work for replacement	PHWR	Operational	542	1971		0		2		T	30.0	100.0
72	2012-12-12	72	72	72	Daisy, United States	42.0559243	-74.0876402	United States	Energy	Plant	SEQUOYAH	1,2	2		0-1		Both units were at risk of external flooding inundating the Unanalyzed Essential Raw Cooling Water pumping station through inadequate electrical conduit penetration seals that could allow flood waters to enter into the system at a rate greater than the installed sump pump capacity and impact system performance during a (hypothetical) flood event above plant grade.	PWR	Operational	1221;1200	1980;1981	Potential CCF	?		3		T	0.0	1.0
73		73	73	73	Romney Marsh, United Kingdom	50.9790918	0.91902	United Kingdom	Energy	Plant	DUNGENESS	B1,B2	2	1.0	1	WE	The primary sea defence (a shingle bank) was not as robust as previously thought. An investigation was initiated and the reactor had to shutdown whilst an improvement program was implemented.	GCR	Operational	615	1983;1985		0		3		T	38.0	44.0
74	2012-11-05	74	74	74	Romney Marsh, United Kingdom	50.9790918	0.91902	United Kingdom	Energy	Plant	DUNGENESS	B2	3	1.0	1	WE	Operator found that an incorrect control rod (less instead of more absorbative) had been loaded in March 2003. The misload was identified during routine control rod maintenance after their removal from the reactor.	GCR	Operational	615	1985	insignificant degradation of safety system	0		1		H	0.0	0.0
75	2012-10-24	75	75	75	Flamanville, France	49.5320334	-1.8660203	France	Energy	Plant	FLAMANVILLE	1	1	1.0		WE	Leak on an auxiliary line of the reactor's coolant system, when entering the final restart phase, after planned shutdown; leak contained in the reactor building, and stopped by applying reactor cold shutdown instructions after 5 hours; no consequences for the staff nor the environment.	PWR	Operational	1382	1985		?		1		T	1.0	10.0
78	2012-09-05	78	78	78	Paks, Hungary	46.6229468	18.8589364	Hungary	Energy	Plant	PAKS	1	2	1.0	1	EE	Fast-acting gate valve in the chilled water system switched-off for planned repair, and left open despite of regulations.	PWR	Operational	500	1982		?		1		H	0.0	0.0
82	2012-05-20	82	82	82	Narora, India	28.19595	78.3859544	India	Energy	Plant	NARORA	1	0	1.0	0-1	A	The operator, after completion of Emergency Core Cooling System (ECCS) monthly test, by mistake, initiated the ECCS during reactor cold shutdown state. The heavy water injection to Primary Heat Transport (PHT) system did not terminate as per logic and this led to entry of nitrogen gas into the PHT system. As a result of nitrogen ingress, core cooling flow in some of the coolant channels was disturbed. The operator immediately took corrective action to degas the PHT system and for restoration of normal flow through the core.	PHWR	Operational	220	1989	no impact on reactor safety as the reactor was under cold shutdown for about 8 days	0		1		H	0.0	1.0
83	2012-04-05	83	83	83	Penly, France	49.97598775	1.22906008671597	France	Energy	Plant	PENLY	2	2	1.0	1	WE	Oil fire started in the reactor building and was extinguished rapidly; the reactor was then automatically shutdown; abnormal water leak from a joint on the primary circuit, collected by dedicated circuits/tanks; incidental procedures; no impact on environment.	PWR	Operational	1382	1992		?		1		T	10.0	50.0
85	2012-03-02	85	85	85	Leiston, United Kingdom	52.20648	1.5764329	United Kingdom	Energy	Plant	SIZEWELL	B	2		0	WE	The reactor automatically shutdown following an electrical fault on the non nuclear side of the plant. One and a half weeks later it was restarted at half capacity with one turbine in operation.	PWR	Operational	1250	1995	unplanned scram - omit (?)	0		2		T	20.0	30.0
86	2011-02-16	86	86	86	Pierrelatte, France	44.3778474	4.6976609	France	Energy	Plant	TRICASTIN	3,4	2	2.0	2	WE	Potential failure of emergency diesel generators due to faster deterioration of pads to reduce friction between moving parts of diesel engines (detected before at another station).	PWR	Operational	955	1981	INES 2 due to potential common cause failure. Generic issue. Both internal and external triggers could lead to a demand on this degraded safety system. At all EDF sites, other than Tricastin NPP, where this type of bearing bushings exist (Blayais, Bugey, Chinon, Cruas, Dampierre, Gravelines, Saint-Laurent), each reactor has at least one back-up generator, in the reactor or on the site, equipped with a different brand of bearing bushing which do not have this defect. At those sites the anomaly is rated INES 1 by the ASN.	1		1;3		T	0.0	10.0
87	2012-01-31	87	87	87	San Clemente, United States	33.4270275	-117.6124179	United States	Energy	Plant	SAN ONOFRE	3	2		0 to 1		"Small primary-to-secondary leak in one of the two steam generators; the leak was isolated and the reactor was rendered to cold shutdown conditions in accordance with plant procedures. The AIT report, 1 issued July 18, 2012, identified design control issues associated with the thermal-hydraulic modeling of the steam generators as the probable cause of the steam generator tube degradation that ultimately led to the tube leak in Unit 3.  “ baseline core damage frequency of a steam generator tube rupture, according to the SONGS SPAR model, is 4.26E-7/yr”. Subsequent investigations revealed premature wear on the steam generators of both reactors; 17 months later it was decided to decommission both units
"	PWR	Operational	1127	1983	Cost but low safety relevance	0	Steam generator	1	inadequate design control	H	2500.0	10000.0
88	2012-01-30	88	88	88	Byron, United States	37.874063	-121.634657393299	United States	Energy	Plant	BYRON	2	2		1 to 2		Transformer and breaker failures cause loss of offsite power, reactor trip, and de-energized safety buses. The key issue for this event is the potential for operators to fail to recognize this scenario.	PWR	Operational	1210	1987		1		2		T	15.0	25.0
89	2012-02-09	89	89	89	Gijang-Gun, South Korea	35.25674265	129.267783972499	South Korea	Energy	Plant	KORI	1	0	2.0	0 to 1	A	Station blackout, during cold shutdown state, occurred when workers made a mistake that led to a disconnection of grid power supply, and a standby back up diesel generator failed to start automatically, another generator was out of service for maintenance and a third was available for manual start; reconnection to the grid within 12 min; slight increase of core and used fuel pond temperatures.	PWR	Permanent Shutdown	607	1977		?		2		H	0.0	0.0
91	2011-12-21	91	91	91	Cattenom, France	49.4074405	6.244669	France	Energy	Plant	CATTENOM	2,3		2.0	0 to 1	WE	Absence of a siphon-breaker orifice on the fuel storage pools of the two units during inspection; potential inadvertent operations including extraction of water from the pool.	PWR	Operational	1362	1987;1990		0	Fuel storage pool	1?	Inadequate design	H	0.0	1.0
93	2011-10-19	93	93	93	Karachi, Pakistan	25.147872	67.1821931713384	Pakistan	Energy	Plant	KANUPP	1	0	1.0	0 to 1	A	Seven-hour emergency imposed after heavy water leaked from a feeder pipe to the reactor, during routine maintenance shut down; no damage or radiation; plant restart after 4-5 weeks.	PHWR		100	1971		?		1		T	2.0	5.0
96	2011-08-23	96	96	96	Mineral, United States			United States	Energy	Plant	NORTH ANNA	1,2	2		2		Reactor automatically shutdown and four back-up diesel generators started, when the plant lost off site power due to a beyond design basis earthquake; coincided with the Unit 1 turbine-driven auxiliary feedwater (AFW) pump being out-of-service because of testing; one EDG suffered a coolant leak and stopped working, but was replaced by a fifth one; off site power was restored on the same day.	PWR	Operational	990;1011	1978;1980	Beyond design basis earthquake! CCDF should be large?	1		3		T	222.0	272.0
98	2011-06-07	98	98	98	Fort Calhoun, United States	41.4558282	-96.0264024	United States	Energy	Plant	FORT CALHOUN	1	0		2 to 3		The failure of a safety-grade electrical breaker and subsequent fire resulted in a large quantity of soot and smoke and impacted some safety-grade equipment; the resulted in a loss of spent fuel pool cooling function and if the reactor would have been at power, loss of a safety function or failures in systems used to mitigate an event could have occured.	PWR	Permanent Shutdown	512	1973	Spent fuel pool cooling affected; not reactor itself.	1		3		T	0.0	10.0
99		99	99	99	Narora, India	28.19595	78.3859544	India	Energy	Plant	NARORA	1	2?	1.0	0 to 1	A	During refueling operation a pair of spent fuel bundle got detached from its end plates resulting in separation of fuel pins from the fuel bundle. The event occurred due to a mechanical fault in fuel transfer system, used for transferring spent fuel from reactor building to spent fuel storage bay. The fuel pin of the spent fuel bundle got damaged during the fuel transfer operation, as was evident from the minor release of iodine and fission product noble gas through the stack at the time of the event.	PHWR	Operational	220	1989		?	Fuel transfer system	1	mechanical fault	T	0.0	1.0
101	2011-04-27	101	101	101	Decatur, United States	39.8454163	-88.9524151	United States	Energy	Plant	BROWNS FERRY	1,2,3	2		1		All three reactors scrammed due to loss of external power caused by a tornado in the vicinity of the plant. Control rod insertion and cooling procedures operated as designed with no physical damage or release of radiation. Emergency diesel generators (EDGs) provided power after a brief period of outage. An Unusual Event, the lowest level of emergency classification, was declared by NRC due to loss of power exceeding 15 minutes. Additionally, a small oil leak was found on one EDG; one EDG of unit 3 was out of service due to maintenance.	BWR	Operational	1155	1973;1974;1976		1		3		T	150.0	250.0
102	2011-03-25	102	102	102	Pickering, Canada	43.835765	-79.090576	Canada	Energy	Plant	PICKERING	1	1		0 to 1		Unit experienced a brief partial loss of power, while performing start up activities. Automatic systems restored the power; the operating staff responded according to procedure.	PHWR	Operational	542	1971	Candu anomaly	0		1		T	1.0	10.0
105	2011-03-11	105	105	105	Ohkuma-Machi, Japan			Japan	Energy	Plant	FUKUSHIMA-DAIICHI	1,2,3,4	2	7.0	0 to 1	A	A beyond design 9.0-9.2 seaquake and a 14-14.5m tsunami caused total loss of AC/DC power due to flooding; subsequent loss of core cooling; hydrogen explosions; high release due to deliberate containment venting; 20km exclusion zone; 150'000 people continuously displaced; discharge of radioactive coolant water into the sea; all units given up; excessive clean up.	BWR	Permanent Shutdown	460;784;784;784	1970;1973;1974;1978		1		3		T	257000.0	357000.0
106	2011-03-11	106	106	106	Onagawa, Japan	38.4496158	141.4431144	Japan	Energy	Plant	ONAGAWA	2	2	2.0	2	A	Following the Tohoku earthquake, a fire broke out in the turbine building; reactor shutdown and power supply by back up diesel generators, that failed after a certain runtime, but were repaired to cool down the reactor without any damage.	BWR	Operational	825	1994		1		3;2		T	4300.0	5000.0
109	2010-11-07	109	109	109	Buchanan, United States			United States	Energy	Plant	INDIAN POINT	2	2		0 to 1		An explosion occurred in second main transformer, resulting in an automatic reactor trip and spilling oil into the Hudson River; no safeguard equipment damaged.	PWR	Operational	1067	1973		0		2		T	35.0	50.0
115	2010-03-28	115	115	115	Hartsville, United States	34.3740431	-80.0734005	United States	Energy	Plant	ROBINSON	2	1;0		2		An electrical feeder cable failure to 4 kV non-vital bus 5 caused an arc flash and fire. Non-isolation from bus 4 due to a failure of the breaker to open resulted in reduced voltage to one of the reactor coolant pumps and in a reactor trip; subsequently an automatic safety injection occured due to reactor cooldown. During plant restoration the crew made mistakes and caused a second fire.	PWR	Operational	780	1970		1		2?		T	10.0	50.0
116	2010-03-28	116	116	116	Perry, United States	38.0772859	-89.3760499	United States	Energy	Plant	PERRY	1	2		0 to 1		There was a fire in a lubrication system for one of the water pumps that feeds water for generation of steam. Reactor power automatically lowered to 68% due to the reduction in feed water flow, and the fire was extinguished in less than three hours.	BWR	Operational	1303	1986	minor safety significance - omit	0		2		T	0.0	5.0
117	2010-03-16	117	117	117	Leiston, United Kingdom	52.20648	1.5764329	United Kingdom	Energy	Plant	SIZEWELL	B	2		0 to 1	WE	The reactor was safely shutdown after a small leak (5 liters/minute) was detected, subsequently traced to the bottom of the pressurizer; due to a fault within one of 78  heater elements, a tube developed cracking such that there was a water path into the containment building. The plant was taken offline for 6 months because of difficult repairs.	PWR	Operational	1250	1995		0		1		T	350.0	500.0
